,,Accuracy Resualt
DecisionTreeClassifier,EFS,0.9776897414512093
DecisionTreeClassifier,EFS_VIF,0.9776897414512093
DecisionTreeClassifier,SBS,0.9721643035863219
DecisionTreeClassifier,SBS_VIF,0.9711217681401167
DecisionTreeClassifier,SFS,0.9711217681401167
DecisionTreeClassifier,SFS_VIF,0.9711217681401167
KNeighborsClassifier,EFS,0.9744578815679733
KNeighborsClassifier,SBS,0.9741451209341117
KNeighborsClassifier,SFS,0.9741451209341117
naiveBayes_GaussianNB,EFS,0.9744578815679733
naiveBayes_GaussianNB,SBS,0.862698081734779
naiveBayes_GaussianNB,SFS,0.9741451209341117
LogisticRegression,EFS,0.8499791492910759
LogisticRegression,EFS_VIF,0.8371559633027523
LogisticRegression,SBS,0.8492493744787324
LogisticRegression,SBS_VIF,0.8384070058381985
LogisticRegression,SFS,0.8323603002502085
LogisticRegression,SFS_VIF,0.8323603002502085
Neural Network,EFS,0.9696622185154296
Neural Network,SBS,0.8949124270225187
Neural Network,SFS,0.9740408673894911
SVM,EFS,0.8332985821517932
SVM,SBS,0.8433069224353629
SVM,SFS,0.8182860717264386
RandomForest,EFS,0.9985404503753128
